"STATE","LGA","January","February","March","April","May","June","July","August"
"Kwara","Asa",12.5,12.5,13.2,14.8,18.1,22.4,25.9,30.8
"Kwara","Baruten",11.3,11,11.2,12.6,15.6,19.5,23.7,29.5
"Kwara","Edu",11.4,11,11.2,12.4,15.6,19.9,23.8,29.1
"Kwara","Ekiti",13.3,13.4,14.5,16.3,20.2,24.8,28.4,33.6
"Kwara","Ifelodun",12.9,12.8,13.4,15,18.5,23,26.5,31.6
"Kwara","Ilorin East",12.5,12.4,13,14.5,18,22.3,25.6,30.3
"Kwara","Ilorin South",12.3,12.4,13.3,14.9,18.2,22.5,26,30.9
"Kwara","IlorinWe",11.6,11.8,12.7,14.3,17.8,22.1,25.4,30.2
"Kwara","Irepodun",13.3,13.5,14.4,16.1,19.7,24,27.5,32.6
"Kwara","Isin",13.2,13.2,14.1,15.8,19.5,24,27.6,32.8
"Kwara","Kaiama",11.3,10.9,10.8,12,15.1,19.2,23.8,29.8
"Kwara","Moro",11.7,11.4,11.8,13.1,16.3,20.6,24.1,29
"Kwara","Offa",13.6,13.7,14.5,16.1,19.6,23.9,27.3,32.3
"Kwara","Oke-Ero",13.4,13.6,14.6,16.5,20.4,25,28.7,34
"Kwara","Oyun",13.6,13.7,14.4,16,19.4,23.7,27.2,32.3
"Kwara","Pategi",12.4,12,12.3,13.7,17,21.6,25.4,30.5
