"STATE","LGA","October","November","December","January","February","March","April","May"
"Ekiti","Ado-Ekiti",8.3,8.6,8.8,9.2,9.3,9.7,10.5,12.3
"Ekiti","Efon",8,8.5,8.8,9.2,9.4,9.8,10.6,12.3
"Ekiti","EkitiEas",8.2,8.5,8.8,9.1,9.1,9.4,10.2,11.9
"Ekiti","EkitiSouth-West",8.2,8.6,8.9,9.3,9.4,9.9,10.8,12.7
"Ekiti","EkitiWest",8.2,8.6,8.9,9.2,9.3,9.8,10.6,12.3
"Ekiti","Emure/Ise/Orun",8.1,8.4,8.7,9,9.1,9.5,10.4,12.1
"Ekiti","Gboyin",8.2,8.5,8.8,9.1,9.2,9.6,10.4,12.1
"Ekiti","Ido/Osi",8.1,8.4,8.7,9.1,9.2,9.6,10.4,12.2
"Ekiti","Ijero",8.1,8.5,8.7,9.1,9.2,9.6,10.4,12.2
"Ekiti","Ikere",8.2,8.5,8.8,9.2,9.2,9.7,10.6,12.4
"Ekiti","Ikole",8.3,8.6,8.8,9.2,9.2,9.6,10.5,12.1
"Ekiti","Ilejemeje",8,8.3,8.6,8.9,9,9.5,10.3,12
"Ekiti","Irepodun/Ifelodun",8.2,8.5,8.8,9.2,9.3,9.7,10.5,12.3
"Ekiti","Ise/Orun",8.2,8.5,8.8,9.2,9.3,9.9,10.8,12.6
"Ekiti","Moba",8.3,8.6,8.8,9.2,9.3,9.7,10.5,12.3
"Ekiti","Oye",8.1,8.4,8.7,9.1,9.1,9.5,10.3,12
