"STATE","LGA","December","January","February","March","April","May","June","July"
"Ogun","Abeokuta South",14.3,14.8,15,15.8,17.9,21.7,25.7,29.4
"Ogun","AbeokutaNorth",14.2,14.9,15,15.8,18,21.8,25.7,29.4
"Ogun","AdoOdo/Ota",15.4,16.3,16.3,16.2,16.9,19.4,23.3,27.1
"Ogun","EgbadoNorth",14.3,15.1,15.2,16,18.2,22.1,26.3,30.2
"Ogun","EgbadoSouth",15.3,16.1,16.1,16.3,17.6,21.2,25.3,29.3
"Ogun","Ewekoro",15.6,16.5,16.5,16.5,17.4,20.7,24.6,28.4
"Ogun","Ifo",15.9,16.8,16.7,16.8,17.4,20,23.9,27.8
"Ogun","Ijebu North-East",15.8,16.7,16.7,16.7,17.5,20.5,24.3,28.1
"Ogun","IjebuEast",17.3,18.4,18.5,18.5,19.2,21.6,25.2,28.9
"Ogun","IjebuNorth",16.2,17.2,17.3,17.4,18.3,21.4,25.3,29.1
"Ogun","IjebuOde",16.1,17,17,16.9,17.7,20.7,24.7,28.7
"Ogun","Ikenne",15.6,16.3,16.3,16.8,18.3,21.5,25.9,30.1
"Ogun","Imeko-Afon",14.6,15.1,15.1,16,18.4,22.3,26.4,30.3
"Ogun","Ipokia",14.5,15.5,15.5,15.7,16.6,19.2,22.8,26.6
"Ogun","Obafemi-Owode",15.6,16.4,16.3,16.6,18,21.4,25.5,29.4
"Ogun","Odeda",14.5,15.1,15.4,16.4,18.6,22.4,26.3,30
"Ogun","Odogbolu",17.5,18.5,18.4,18.3,18.6,20.7,24.7,28.7
"Ogun","OgunWaterside",18,19.1,19.1,19.1,19.7,22.6,26.4,30.1
"Ogun","Remo-North",15.6,16.3,16.3,16.5,18,21.5,25.6,29.5
"Ogun","Shagamu",16.1,16.8,16.8,17.2,18.4,21.4,25.8,30
