"","plDate","N","P","K","WLY","CurrentY","TargetY","TC","NR","NPK17_17_17","DAP","MOP","Urea","FCY","plw","harvMonth","STATE","DISTRICT","respY","groRev","plm","rateNPK171717","rateDAP"
"4081",36,0,0,0.36,3.89005,3.87765,3.88601259298816,335,291.666666666667,0,0,0.6,0,"level2",6,8,"Amajyaruguru","Burera",0.008362592988159,626.666666666667,"February",0,0
"4082",36,0,0,0,2.88463636363636,2.88463636363636,2.88463636363636,0,0,0,0,0,0,"level2",6,8,"Amajyaruguru","Gakenke",0,0,"February",0,0
"4083",36,3.55166468048304,-4.55054375525373e-19,5.88258745602689,11.0548148148148,10.7564444444444,11.0023811871581,9829.62962962963,8614.81481481482,0,0,9.82716049382716,7.7037037037037,"level2",6,8,"Amajyaruguru","Gicumbi",0.24593674271369,18444.4444444444,"February",0,0
"4084",36,1.18767164431582,0,3.48167505285223,7.56841176470588,7.34482352941176,7.52194991029061,4698.03921568627,8586.27450980392,0,0,5.80392156862745,2.58823529411765,"level2",6,8,"Amajyaruguru","Musanze",0.177126380878847,13284.3137254902,"February",0,0
"4085",36,2.51974980247411,-2.96059473233375e-18,4.16279243766506,6.84475,6.60215,6.80098965779485,6971.66666666667,7940,0,0,6.93333333333333,5.5,"level2",6,8,"Amajyaruguru","Rulindo",0.198839657794847,14911.6666666667,"February",0,0
"4111",36,2.75982600128926,0,4.06153887929626,10.312725,9.8938125,10.2626727609009,7171.25,20493.75,0,0,6.7875,6,"level2",6,9,"Amajyaruguru","Burera",0.368860260900918,27665,"February",0,0
"4112",36,0,0,0,8.58763636363636,8.56619318181818,8.56619318181818,0,0,0,0,0,0,"level2",6,9,"Amajyaruguru","Gakenke",0,0,"February",0,0
"4113",36,41.1041984905978,0,48.3915941060721,20.0594166666667,14.2063055555556,20.0454785284237,95421.2962962963,342508.333333333,0,0,80.6851851851852,89.3611111111111,"level2",6,9,"Amajyaruguru","Gicumbi",5.83917297286814,437929.62962963,"February",0,0
"4114",36,23.5974783011037,0.291371027840204,28.7205970660012,15.5711470588235,12.2317058823529,15.5404086453283,56451.4705882353,191692.647058824,0.941176470588235,1.05882352941176,47.6323529411765,50.5882352941176,"level2",6,9,"Amajyaruguru","Musanze",3.30870276297538,248144.117647059,"February",0.941176470588235,1.05882352941176
"4115",36,22.0992159965676,-4.44089209850063e-17,26.3181506793236,14.1721875,10.8579375,14.1612920256515,51550,196198.75,0,0,43.825,48.0375,"level2",6,9,"Amajyaruguru","Rulindo",3.30335452565148,247748.75,"February",0,0
"4141",36,34.021867882236,1.01321881087295,39.0108197190638,19.7078625,14.61255,19.0724208616172,80741.25,253738.75,3.25,3.725,64.2125,71.3375,"level2",6,10,"Amajyaruguru","Burera",4.45987086161719,334480,"February",3.25,3.725
"4142",36,25.1255273093838,-8.37713736762618e-19,30.6980573754718,17.026125,14.1875795454545,16.9851377157045,59347.7272727273,150456.818181818,0,0,51.1477272727273,54.6136363636364,"level2",6,10,"Amajyaruguru","Gakenke",2.79755817024997,209804.545454545,"February",0,0
"4143",36,78.6873201661374,16.5037916249574,45.2060328856865,38.2713888888889,14.8157222222222,29.5491982355742,182075,922934.259259259,48.8611111111111,62.2314814814815,63.1574074074074,128.731481481481,"level2",6,10,"Amajyaruguru","Gicumbi",14.733476013352,1105009.25925926,"February",48.8611111111111,62.2314814814815
"4144",36,57.9620557853613,10.5754627897076,39.689099810818,31.5723088235294,14.8867941176471,25.0271243792496,135500,625016.176470588,29.7794117647059,40.5147058823529,58.6764705882353,99.0882352941177,"level2",6,10,"Amajyaruguru","Musanze",10.1403302616025,760516.176470588,"February",29.7794117647059,40.5147058823529
"4145",36,50.980898620737,8.10370270014323,36.7790042478109,27.4705875,14.0409,22.6448168766995,118395,526895,25.3875,30.0125,54.9875,89.7375,"level2",6,10,"Amajyaruguru","Rulindo",8.60391687669954,645290,"February",25.3875,30.0125
"4171",36,77.8698607738824,10.5074736879651,59.2205127571395,33.7322625,14.8698,28.6118249029666,178253.75,852395,31.0875,39.65,90.9,142.325,"level2",6,11,"Amajyaruguru","Burera",13.7420249029666,1030648.75,"February",31.0875,39.65
"4172",36,71.9800476269475,7.24492231850353,62.4051648826487,28.3517386363636,14.7525,26.9601932376753,165662.5,749907.954545455,22.8409090909091,26.75,98.3068181818182,137.568181818182,"level2",6,11,"Amajyaruguru","Gakenke",12.2076932376753,915570.454545455,"February",22.8409090909091,26.75
"4173",36,84.2699751026286,19.8376826309365,40.6811865007582,61.5158611111111,14.8394444444444,31.2245271142034,193313.888888889,1035565.74074074,57.75,75.2314814814815,53.3611111111111,132.527777777778,"level2",6,11,"Amajyaruguru","Gicumbi",16.3850826697589,1228879.62962963,"February",57.75,75.2314814814815
"4174",36,79.6428230816808,14.5512447748819,51.7062240024861,53.0339558823529,15.1348235294118,29.9340873786498,183301.470588235,926641.176470588,39.0735294117647,56.5441176470588,76.4117647058823,136.558823529412,"level2",6,11,"Amajyaruguru","Musanze",14.799263849238,1109942.64705882,"February",39.0735294117647,56.5441176470588
